constructorResultsId,raceId,constructorId,points,status
14868,905,1,9.0,\N
14869,905,3,6.0,\N
14870,905,208,4.0,\N
14871,905,206,2.0,\N
14872,905,207,0.0,\N
14873,905,15,0.0,\N
14874,905,5,0.0,\N
14875,906,9,40.0,\N
14876,906,131,18.0,\N
14877,906,1,14.0,\N
14878,906,10,10.0,\N
14879,906,6,9.0,\N
14880,906,3,6.0,\N
14881,906,5,4.0,\N
14882,906,15,0.0,\N
14883,906,208,0.0,\N
14884,906,207,0.0,\N
14885,906,206,0.0,\N
14886,907,131,43.0,\N
14887,907,3,27.0,\N
14888,907,6,11.0,\N
14889,907,10,10.0,\N
14890,907,1,6.0,\N
14891,907,9,4.0,\N
14892,907,208,0.0,\N
14893,907,15,0.0,\N
14894,907,206,0.0,\N
14895,907,207,0.0,\N
14896,907,5,0.0,\N
14897,908,131,25.0,\N
14898,908,3,18.0,\N
14899,908,9,25.0,\N
14900,908,1,18.0,\N
14901,908,6,8.0,\N
14902,908,10,4.0,\N
14903,908,5,3.0,\N
14904,908,208,0.0,\N
14905,908,15,0.0,\N
14906,908,206,0.0,\N
14907,908,207,0.0,\N
14908,909,131,40.0,\N
14909,909,3,18.0,\N
14910,909,9,20.0,\N
14911,909,6,10.0,\N
14912,909,10,7.0,\N
14913,909,1,6.0,\N
14914,909,208,0.0,\N
14915,909,5,0.0,\N
14916,909,15,0.0,\N
14917,909,206,0.0,\N
14918,909,207,0.0,\N
14919,910,9,31.0,\N
14920,910,6,26.0,\N
14921,910,131,27.0,\N
14922,910,3,14.0,\N
14923,910,5,2.0,\N
14924,910,1,1.0,\N
14925,910,15,0.0,\N
14926,910,208,0.0,\N
14927,910,206,0.0,\N
14928,910,207,0.0,\N
14929,910,10,0.0,\N
14930,911,9,35.0,\N
14931,911,131,18.0,\N
14932,911,3,15.0,\N
14933,911,6,18.0,\N
14934,911,1,8.0,\N
14935,911,10,5.0,\N
14936,911,5,2.0,\N
14937,911,15,0.0,\N
14938,911,206,0.0,\N
14939,911,207,0.0,\N
14940,911,208,0.0,\N
14941,912,131,43.0,\N
14942,912,3,27.0,\N
14943,912,9,18.0,\N
14944,912,10,6.0,\N
14945,912,1,5.0,\N
14946,912,6,2.0,\N
14947,912,5,0.0,\N
14948,912,208,0.0,\N
14949,912,15,0.0,\N
14950,912,207,0.0,\N
14951,912,206,0.0,\N
14952,913,131,25.0,\N
14953,913,9,33.0,\N
14954,913,6,16.0,\N
14955,913,3,10.0,\N
14956,913,5,8.0,\N
14957,913,10,8.0,\N
14958,913,1,1.0,\N
14959,913,208,0.0,\N
14960,913,207,0.0,\N
14961,913,206,0.0,\N
14962,913,15,0.0,\N
14963,914,131,43.0,\N
14964,914,9,27.0,\N
14965,914,1,10.0,\N
14966,914,3,14.0,\N
14967,914,10,5.0,\N
14968,914,5,2.0,\N
14969,914,6,0.0,\N
14970,914,15,0.0,\N
14971,914,208,0.0,\N
14972,914,207,0.0,\N
14973,914,206,0.0,\N
14974,915,131,43.0,\N
14975,915,3,15.0,\N
14976,915,1,22.0,\N
14977,915,6,10.0,\N
14978,915,9,10.0,\N
14979,915,10,1.0,\N
14980,915,5,0.0,\N
14981,915,15,0.0,\N
14982,915,208,0.0,\N
14983,915,207,0.0,\N
14984,915,206,0.0,\N
16883,1120,1,18.0,\N
16882,1120,131,17.0,\N
14987,916,131,43.0,\N
14988,916,9,21.0,\N
14989,916,3,22.0,\N
14990,916,6,8.0,\N
14991,916,1,4.0,\N
14992,916,5,1.0,\N
14993,916,208,2.0,\N
14994,916,15,0.0,\N
14995,916,10,0.0,\N
14996,917,131,43.0,\N
14997,917,3,16.0,\N
14998,917,1,14.0,\N
14999,917,9,10.0,\N
15000,917,6,14.0,\N
15001,917,10,4.0,\N
15002,917,5,0.0,\N
15003,917,208,0.0,\N
15004,917,15,0.0,\N
15005,918,131,50.0,\N
15006,918,3,66.0,\N
15007,918,9,32.0,\N
15008,918,1,20.0,\N
15009,918,10,28.0,\N
15010,918,6,6.0,\N
15011,918,5,0.0,\N
15012,918,208,0.0,\N
15013,918,15,0.0,\N
15014,918,207,0.0,\N
15821,1007,6,33.0,\N
15015,926,131,43.0,\N
15016,926,6,15.0,\N
15017,926,3,12.0,\N
15018,926,15,14.0,\N
15019,926,9,8.0,\N
15020,926,10,7.0,\N
15021,926,5,2.0,\N
15022,926,1,0.0,\N
15023,926,208,0.0,\N
15024,927,6,37.0,\N
15025,927,131,33.0,\N
15026,927,3,18.0,\N
15027,927,5,10.0,\N
15028,927,9,3.0,\N
15029,927,208,0.0,\N
15030,927,15,0.0,\N
15031,927,10,0.0,\N
15032,927,209,0.0,\N
15033,927,1,0.0,\N
15034,928,131,43.0,\N
15035,928,6,27.0,\N
15036,928,3,18.0,\N
15037,928,208,6.0,\N
15038,928,15,5.0,\N
15039,928,9,2.0,\N
15040,928,10,0.0,\N
15041,928,1,0.0,\N
15042,928,5,0.0,\N
15043,928,209,0.0,\N
15044,929,131,40.0,\N
15045,929,6,28.0,\N
15046,929,3,13.0,\N
15047,929,9,10.0,\N
15048,929,208,6.0,\N
15049,929,10,4.0,\N
15050,929,1,0.0,\N
15051,929,15,0.0,\N
15052,929,209,0.0,\N
15053,929,5,0.0,\N
15054,930,131,43.0,\N
15055,930,6,25.0,\N
15056,930,3,20.0,\N
15057,930,9,7.0,\N
15058,930,208,4.0,\N
15059,930,5,2.0,\N
15060,930,15,0.0,\N
15061,930,10,0.0,\N
15062,930,1,0.0,\N
15063,930,209,0.0,\N
15064,931,131,40.0,\N
15065,931,6,26.0,\N
15066,931,9,22.0,\N
15067,931,10,6.0,\N
15068,931,1,4.0,\N
15069,931,15,2.0,\N
15070,931,5,1.0,\N
15071,931,208,0.0,\N
15072,931,3,0.0,\N
15073,931,209,0.0,\N
15074,932,131,43.0,\N
15075,932,3,23.0,\N
15076,932,6,22.0,\N
15077,932,208,7.0,\N
15078,932,10,4.0,\N
15079,932,9,2.0,\N
15080,932,5,0.0,\N
15081,932,15,0.0,\N
15082,932,209,0.0,\N
15083,932,1,0.0,\N
