weatherId,country,location,date,time,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
192,Canada,Montreal,2006-06-25,13:00:00,28.0,15.0,22.5,27.4,15.0,22.4,10.6,48.7,0.0,0.0,0.0,,0.0,0.0,,7.6,38.2,1020.2,27.3,20.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71,627,094,792,713,700,000,000,000,000,000,000,000,000,000"
193,Canada,Montreal,2007-06-10,17:00:00,26.1,16.9,21.6,26.1,16.9,21.6,13.3,59.7,0.0,0.0,0.0,,0.0,0.0,33.5,10.5,359.2,1016.4,29.2,21.9,,,,,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"71,627,094,792,713,700,000,000,000,000,000,000,000,000,000"
194,Canada,Montreal,2008-06-08,17:00:00,31.0,21.1,24.9,32.7,21.1,25.6,19.6,73.5,8.586,100.0,4.17,rain,0.0,0.0,50.6,17.0,226.8,1007.6,35.4,19.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"71,627,094,792,713,700,000,000,000,000,000,000,000,000,000"
195,Canada,Montreal,2010-06-13,16:00:00,26.0,15.8,20.6,26.0,15.8,20.6,13.4,65.6,0.0,0.0,0.0,,0.0,0.0,,9.4,32.0,1013.5,33.6,19.6,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71627094792,71377099999,71371099999,CWIZ,71612099999,CWTA"
196,Canada,Montreal,2011-06-12,17:00:00,17.0,13.8,15.5,17.0,13.8,15.5,13.8,90.1,36.218,100.0,45.83,rain,0.0,0.0,52.4,9.5,190.9,1009.7,94.7,15.5,,,,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71627094792,71377099999,71371099999,CWIZ,71612099999,CWTA"
218,France,Magny Cours,2001-07-01,\N,24.9,11.9,19.5,24.9,11.9,19.5,11.2,61.5,0.0,0.0,0.0,,0.0,0.0,,14.9,4.5,1026.9,23.9,21.3,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72,550,999,990,726,000,000,000,000,000,000"
219,France,Magny Cours,2002-07-21,\N,25.2,13.4,19.7,25.2,13.4,19.7,11.3,62.0,0.0,0.0,0.0,,,,,14.6,315.7,1016.6,43.5,20.2,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,255,099,999,072,570,000,000,000,000,000,000,000,000,000"
220,France,Magny Cours,2003-07-06,\N,24.2,7.5,16.9,24.2,7.5,16.9,10.1,68.7,0.174,100.0,4.17,rain,0.0,0.0,,13.5,352.3,1019.8,35.9,27.9,,,,,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"7,255,099,999,072,570,000,000,000,000,000,000,000,000,000"
221,France,Magny Cours,2004-07-04,\N,27.5,6.5,17.7,26.8,6.5,17.6,8.8,61.2,0.0,0.0,0.0,,0.0,0.0,,19.7,237.2,1016.8,37.8,31.7,,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"7,255,099,999,072,570,000,000,000,000,000,000,000,000,000"
222,France,Magny Cours,2005-07-03,14:00:00,30.1,13.3,22.0,29.6,13.3,22.0,15.5,70.6,0.174,100.0,4.17,rain,0.0,0.0,29.5,14.8,121.6,1016.8,24.3,22.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"7,255,099,999,072,570,000,000,000,000,000,000,000,000,000"
223,France,Magny Cours,2006-07-16,14:00:00,33.2,16.7,25.9,33.5,16.7,25.9,14.9,53.6,0.0,0.0,0.0,,0.0,0.0,35.3,18.8,62.4,1020.9,9.2,26.6,,,,,Clear,Clear conditions throughout the day.,clear-day,"7,255,099,999,072,570,000,000,000,000,000,000,000,000,000"
224,France,Magny Cours,2007-07-01,12:00:00,22.1,15.1,18.3,22.1,15.1,18.3,14.4,78.9,0.151,100.0,12.5,rain,0.0,0.0,26.3,18.9,253.1,1011.3,64.4,18.7,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"7,255,099,999,072,570,000,000,000,000,000,000,000,000,000"
225,France,Magny Cours,2008-06-22,12:00:00,26.5,17.9,21.7,26.5,17.9,21.7,18.9,84.6,1.276,100.0,25.0,rain,,,31.7,18.7,187.3,1016.4,59.8,16.9,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"7,255,099,999,072,570,000,000,000,000,000,000,000,000,000"
248,UK,Silverstone,2001-07-15,\N,17.2,7.3,12.7,17.2,6.3,12.4,6.7,68.7,0.206,100.0,8.33,rain,,,,14.4,267.8,1014.8,38.7,32.6,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
249,UK,Silverstone,2002-07-07,\N,19.1,13.0,15.4,19.1,13.0,15.4,12.3,82.3,0.317,100.0,8.33,rain,,,,18.5,204.8,1013.5,83.0,19.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
250,UK,Silverstone,2003-07-20,\N,22.8,13.3,17.9,22.8,13.3,17.9,10.9,66.2,0.0,0.0,0.0,,,,,23.3,193.5,1012.9,49.0,19.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
251,UK,Silverstone,2004-07-11,\N,16.0,10.5,13.2,16.0,10.5,13.2,9.3,78.1,1.249,100.0,8.33,rain,,,,16.2,284.7,1012.9,84.6,26.0,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
252,UK,Silverstone,2005-07-10,14:00:00,27.3,13.4,20.5,27.4,13.4,20.5,14.0,69.4,0.0,0.0,0.0,,,,,16.2,35.0,1029.7,42.3,13.9,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
253,UK,Silverstone,2006-06-11,12:00:00,24.8,15.7,20.6,24.8,15.7,20.6,14.6,69.1,0.0,0.0,0.0,,,,,14.3,195.2,1019.8,37.3,14.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
254,UK,Silverstone,2007-07-08,12:00:00,19.6,8.4,14.3,19.6,7.9,14.2,9.1,73.0,0.075,100.0,4.17,rain,,,,14.8,248.6,1016.8,41.0,24.8,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
255,UK,Silverstone,2008-07-06,12:00:00,16.1,12.7,14.1,16.1,12.7,14.1,11.6,84.9,7.759,100.0,16.67,rain,,,51.8,25.0,186.8,1000.7,65.3,17.9,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"36,470,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
