raceId,driverId,lap,position,time,milliseconds
1051,844,52,8,1:27.316,87316
1051,844,53,8,1:27.676,87676
1051,844,54,8,1:39.711,99711
1051,844,55,8,1:48.632,108632
1051,844,56,8,1:30.769,90769
1051,844,57,8,1:27.912,87912
1051,841,1,14,1:43.751,103751
1051,841,2,14,1:32.713,92713
1051,841,3,14,1:31.886,91886
1051,841,4,14,1:30.965,90965
1051,841,5,14,1:31.663,91663
1051,841,6,14,1:32.555,92555
1051,841,7,14,1:31.631,91631
1051,841,8,15,1:33.085,93085
1051,841,9,14,1:31.666,91666
1051,841,10,13,1:31.395,91395
1051,841,11,13,1:30.993,90993
1051,841,12,13,1:31.010,91010
1051,841,13,12,1:31.739,91739
1051,841,14,12,1:31.654,91654
1051,841,15,20,1:52.686,112686
1051,841,16,20,1:34.557,94557
1051,841,17,19,1:28.894,88894
1051,841,18,18,1:29.242,89242
1051,841,19,18,1:29.333,89333
1051,841,20,18,1:29.528,89528
1051,841,21,18,1:29.588,89588
1051,841,22,17,1:29.776,89776
1051,841,23,17,1:30.908,90908
1051,841,24,16,1:28.988,88988
1051,841,25,16,1:29.120,89120
1051,841,26,16,1:29.033,89033
1051,841,27,14,1:29.288,89288
1051,841,28,14,1:29.907,89907
1051,841,29,15,1:30.637,90637
1051,841,30,14,1:31.250,91250
1051,841,31,14,1:29.183,89183
1051,841,32,17,1:49.375,109375
1051,841,33,19,1:34.244,94244
1051,841,34,19,1:28.248,88248
1051,841,35,19,1:28.646,88646
1051,841,36,19,1:28.716,88716
1051,841,37,19,1:28.480,88480
1051,841,38,19,1:28.652,88652
1051,841,39,19,1:28.631,88631
1051,841,40,18,1:27.823,87823
1051,841,41,18,1:28.430,88430
1051,841,42,18,1:28.392,88392
1051,841,43,18,1:28.442,88442
1051,841,44,18,1:28.653,88653
1051,841,45,18,1:28.772,88772
1051,841,46,18,1:28.880,88880
1051,841,47,18,1:28.856,88856
1051,841,48,18,1:28.804,88804
1051,841,49,16,1:29.198,89198
1051,841,50,15,1:28.909,88909
1051,841,51,15,1:28.410,88410
1051,841,52,15,1:28.470,88470
1051,841,53,15,1:32.262,92262
1051,841,54,15,1:50.939,110939
1051,841,55,15,1:39.089,99089
1051,841,56,15,1:31.669,91669
1051,847,1,15,1:44.238,104238
1051,847,2,15,1:33.009,93009
1051,847,3,15,1:31.881,91881
1051,847,4,15,1:31.301,91301
1051,847,5,15,1:31.466,91466
1051,847,6,15,1:32.365,92365
1051,847,7,16,1:32.946,92946
1051,847,8,16,1:32.342,92342
1051,847,9,15,1:32.245,92245
1051,847,10,14,1:31.357,91357
1051,847,11,14,1:31.576,91576
1051,847,12,14,1:31.101,91101
